mins 340 , noise_error =0.9112903225806451
mins 341 , noise_error =0.9834710743801653
mins 342 , noise_error =0.9245283018867925
mins 343 , noise_error =0.9259259259259259
mins 344 , noise_error =0.959349593495935
mins 345 , noise_error =1.0
mins 346 , noise_error =1.0
mins 347 , noise_error =1.0
mins 348 , noise_error =0.9910714285714286
mins 349 , noise_error =0.9910714285714286
mins 350 , noise_error =1.0
mins 351 , noise_error =1.0
mins 352 , noise_error =1.0
mins 353 , noise_error =1.0
mins 354 , noise_error =1.0
mins 355 , noise_error =0.991304347826087
mins 356 , noise_error =0.9829059829059829
mins 357 , noise_error =1.0
mins 358 , noise_error =1.0
mins 359 , noise_error =1.0
mins 360 , noise_error =1.0
mins 361 , noise_error =1.0
mins 362 , noise_error =1.0
mins 363 , noise_error =1.0
mins 364 , noise_error =1.0
mins 365 , noise_error =1.0
mins 366 , noise_error =1.0
mins 367 , noise_error =1.0
mins 368 , noise_error =1.0
mins 369 , noise_error =1.0
mins 370 , noise_error =1.0
mins 371 , noise_error =1.0
mins 372 , noise_error =0.9911504424778761
mins 373 , noise_error =1.0
mins 374 , noise_error =1.0
mins 375 , noise_error =1.0
mins 376 , noise_error =1.0
mins 377 , noise_error =1.0
mins 378 , noise_error =1.0
mins 379 , noise_error =1.0
mins 380 , noise_error =0.9
mins 381 , noise_error =1.0
mins 382 , noise_error =0.9850746268656716
mins 383 , noise_error =0.9813084112149533
mins 384 , noise_error =0.9622641509433962
mins 385 , noise_error =0.968
mins 386 , noise_error =1.0
mins 387 , noise_error =1.0
mins 388 , noise_error =1.0
mins 389 , noise_error =1.0
mins 390 , noise_error =1.0
mins 391 , noise_error =1.0
mins 392 , noise_error =1.0
mins 393 , noise_error =1.0
mins 394 , noise_error =1.0
mins 395 , noise_error =1.0
mins 396 , noise_error =1.0
mins 397 , noise_error =0.9083969465648855
mins 398 , noise_error =1.0
mins 399 , noise_error =1.0
mins 400 , noise_error =1.0
mins 401 , noise_error =1.0
mins 402 , noise_error =1.0
mins 403 , noise_error =0.9821428571428571
mins 404 , noise_error =0.9603174603174603
mins 405 , noise_error =0.9621212121212122
mins 406 , noise_error =1.0
mins 407 , noise_error =1.0
mins 408 , noise_error =1.0
mins 409 , noise_error =1.0
mins 410 , noise_error =1.0
mins 411 , noise_error =1.0
mins 412 , noise_error =1.0
mins 413 , noise_error =0.9915966386554622
mins 414 , noise_error =0.990990990990991
mins 415 , noise_error =1.0
mins 416 , noise_error =1.0
mins 417 , noise_error =0.9919354838709677
mins 418 , noise_error =0.9243697478991597
mins 419 , noise_error =0.9826086956521739
mins 420 , noise_error =1.0
mins 421 , noise_error =0.9622641509433962
mins 422 , noise_error =0.8706896551724138
mins 423 , noise_error =0.9206349206349207
mins 424 , noise_error =0.9459459459459459
mins 425 , noise_error =0.972972972972973
mins 426 , noise_error =1.0
mins 427 , noise_error =1.0
mins 428 , noise_error =0.9826086956521739
mins 429 , noise_error =1.0
mins 430 , noise_error =1.0
mins 431 , noise_error =0.9905660377358491
mins 432 , noise_error =1.0
mins 433 , noise_error =1.0
mins 434 , noise_error =1.0
mins 435 , noise_error =0.9357798165137614
mins 436 , noise_error =0.9541284403669725
mins 437 , noise_error =0.9658119658119658
mins 438 , noise_error =0.9642857142857143
mins 439 , noise_error =0.9661016949152542
mins 440 , noise_error =0.8482142857142857
mins 441 , noise_error =0.904
mins 442 , noise_error =0.9652173913043478
mins 443 , noise_error =1.0
mins 444 , noise_error =0.9541284403669725
mins 445 , noise_error =0.9719626168224299
mins 446 , noise_error =1.0
mins 447 , noise_error =0.9819819819819819
mins 448 , noise_error =0.9915254237288136
mins 449 , noise_error =0.9913793103448276
mins 450 , noise_error =1.0
mins 451 , noise_error =1.0
mins 452 , noise_error =1.0
mins 453 , noise_error =0.9514563106796117
mins 454 , noise_error =0.9369369369369369
mins 455 , noise_error =1.0
mins 456 , noise_error =0.9682539682539683
mins 457 , noise_error =1.0
mins 458 , noise_error =1.0
mins 459 , noise_error =1.0
mins 460 , noise_error =1.0
mins 461 , noise_error =1.0
mins 462 , noise_error =0.9568965517241379
mins 463 , noise_error =0.9016393442622951
mins 464 , noise_error =1.0
mins 465 , noise_error =1.0
mins 466 , noise_error =1.0
mins 467 , noise_error =1.0
mins 468 , noise_error =0.9658119658119658
mins 469 , noise_error =0.9915254237288136
mins 470 , noise_error =1.0
mins 471 , noise_error =1.0
mins 472 , noise_error =0.9831932773109243
mins 473 , noise_error =1.0
mins 474 , noise_error =1.0
mins 475 , noise_error =1.0
mins 476 , noise_error =1.0
mins 477 , noise_error =1.0
mins 478 , noise_error =0.9910714285714286
mins 479 , noise_error =0.9916666666666667
mins 480 , noise_error =1.0
mins 481 , noise_error =1.0
mins 482 , noise_error =0.990909090909091
mins 483 , noise_error =0.9814814814814815
mins 484 , noise_error =0.9911504424778761
mins 485 , noise_error =0.9823008849557522
mins 486 , noise_error =0.9915254237288136
mins 487 , noise_error =0.9663865546218487
mins 488 , noise_error =0.9831932773109243
mins 489 , noise_error =1.0
mins 490 , noise_error =1.0
mins 491 , noise_error =0.9904761904761905
mins 492 , noise_error =0.9821428571428571
mins 493 , noise_error =1.0
mins 494 , noise_error =0.9444444444444444
mins 495 , noise_error =0.9814814814814815
mins 496 , noise_error =0.9814814814814815
mins 497 , noise_error =0.9813084112149533
mins 498 , noise_error =1.0
mins 499 , noise_error =1.0
mins 500 , noise_error =1.0
mins 501 , noise_error =1.0
mins 502 , noise_error =0.9727272727272728
mins 503 , noise_error =1.0
mins 504 , noise_error =0.990909090909091
mins 505 , noise_error =0.9444444444444444
mins 506 , noise_error =0.9230769230769231
mins 507 , noise_error =0.9811320754716981
mins 508 , noise_error =1.0
mins 509 , noise_error =0.9819819819819819
mins 510 , noise_error =0.9823008849557522
mins 511 , noise_error =1.0
mins 512 , noise_error =0.9519230769230769
mins 513 , noise_error =1.0
mins 514 , noise_error =1.0
mins 515 , noise_error =1.0
mins 516 , noise_error =0.957983193277311
mins 517 , noise_error =1.0
mins 518 , noise_error =0.9823008849557522
mins 519 , noise_error =0.9636363636363636
mins 520 , noise_error =1.0
mins 521 , noise_error =1.0
mins 522 , noise_error =1.0
mins 523 , noise_error =1.0
mins 524 , noise_error =1.0
mins 525 , noise_error =0.981651376146789
mins 526 , noise_error =0.9818181818181818
mins 527 , noise_error =1.0
mins 528 , noise_error =0.9196428571428571
mins 529 , noise_error =0.928
mins 530 , noise_error =0.9907407407407407
mins 531 , noise_error =1.0
mins 532 , noise_error =1.0
mins 533 , noise_error =1.0
mins 534 , noise_error =1.0
mins 535 , noise_error =0.6454545454545455
mins 536 , noise_error =0.8333333333333334
mins 537 , noise_error =0.962962962962963
mins 538 , noise_error =1.0
mins 539 , noise_error =1.0
mins 540 , noise_error =1.0
mins 541 , noise_error =1.0
mins 542 , noise_error =1.0
mins 543 , noise_error =0.9636363636363636
mins 544 , noise_error =0.9363636363636364
mins 545 , noise_error =0.9907407407407407
mins 546 , noise_error =1.0
mins 547 , noise_error =0.970873786407767
mins 548 , noise_error =0.9711538461538461
mins 549 , noise_error =1.0
mins 550 , noise_error =1.0
mins 551 , noise_error =0.9894736842105263
mins 552 , noise_error =1.0
mins 553 , noise_error =1.0
mins 554 , noise_error =1.0
mins 555 , noise_error =1.0
mins 556 , noise_error =0.9891304347826086
mins 557 , noise_error =1.0
mins 558 , noise_error =1.0
mins 559 , noise_error =1.0
mins 560 , noise_error =1.0
mins 561 , noise_error =1.0
mins 562 , noise_error =0.9351851851851852
mins 563 , noise_error =1.0
mins 564 , noise_error =0.9716981132075472
mins 565 , noise_error =1.0
mins 566 , noise_error =0.990909090909091
mins 567 , noise_error =0.9907407407407407
